Task_Object,Task_Value,FSM_Duration_s,Human_Active_Time_s,TARS_Execution_Time_s,Active_Duration_s,Coordination_Time_s
Takeoff clearance,CONFIRM,18.872000,18.891000,0.030000,18.921000,0.805000
Pitot-Static Switch,PITOT-STATIC,6.025000,1.853000,0.060000,1.913000,0.752000
ENGINE ANTI-ICE Switches,AS REQUIRED,5.969000,3.506000,0.030000,3.536000,0.652000
WINDSHIELD ANTI-ICE Switches,AS REQUIRED,6.284000,3.556000,0.030000,3.586000,0.803000
PAX SAFETY Switch,PAX SAFETY,4.655000,1.853000,0.060000,1.913000,0.700000
LANDING Light Switch,AS DESIRED,4.399000,2.956000,0.030000,2.986000,0.651000
ANTI-COLL Light Switch,ON,4.357000,2.955000,0.030000,2.985000,0.703000
EICAS,CHECKED,3.195000,1.854000,0.030000,1.884000,0.550000
Winds,CHECK,5.165000,2.757000,0.030000,2.787000,0.701000
Select Altitude,PRESET AS CLEARED,5.666000,4.263000,0.030000,4.293000,0.742000
